id,symbol,name,asset_platform_id,market_cap_rank,categories,market_caps
bitcoin,btc,Bitcoin,,1,"['FTX Holdings', 'Cryptocurrency', 'Proof of Work (PoW)', 'Layer 1 (L1)']",1367669237527.8738
ethereum,eth,Ethereum,,2,"['FTX Holdings', 'Proof of Stake (PoS)', 'Multicoin Capital Portfolio', 'Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem']",449221029692.6131
tether,usdt,Tether,ethereum,3,"['FTX Holdings', 'Kava Ecosystem', 'Tron Ecosystem', 'Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Near Protocol Ecosystem', 'Avalanche Ecosystem', 'Tezos Ecosystem', 'Ethereum Ecosystem']",103373346487.36938
binancecoin,bnb,BNB,,4,"['Alleged SEC Securities', 'FTX Holdings', 'Proof of Stake (PoS)', 'Smart Contract Platform', 'Exchange-based Tokens', 'Centralized Exchange (CEX)', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Moonriver Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",95332139987.79802
solana,sol,Solana,,5,"['Alleged SEC Securities', 'FTX Holdings', 'Proof of Stake (PoS)', 'Multicoin Capital Portfolio', 'Smart Contract Platform', 'Solana Ecosystem', 'Layer 1 (L1)']",81845073461.4935
staked-ether,steth,Lido Staked Ether,ethereum,6,"['Decentralized Finance (DeFi)', 'Eth 2.0 Staking', 'Ethereum Ecosystem', 'Liquid Staking Tokens']",36814413948.2165
ripple,xrp,XRP,,7,"['FTX Holdings', 'Cryptocurrency']",34831116403.04182
usd-coin,usdc,USDC,ethereum,8,"['Mantle Ecosystem', 'Ronin Ecosystem', 'Kava Ecosystem', 'Osmosis Ecosystem', 'Base Ecosystem', 'Hedera Ecosystem', 'Stellar Ecosystem', 'Rollux Ecosystem', 'Neon Ecosystem', 'Tron Ecosystem', 'Stablecoins', 'USD Stablecoin', 'Cosmos Ecosystem', 'Polkadot Ecosystem', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Solana Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Metis Ecosystem', 'Velas Ecosystem', 'Arbitrum Nova Ecosystem', 'Moonbeam Ecosystem', 'Cronos Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Canto Ecosystem', 'ZkSync Ecosystem']",30773017722.58478
cardano,ada,Cardano,,9,"['Alleged SEC Securities', 'Proof of Stake (PoS)', 'Smart Contract Platform', 'Cardano Ecosystem', 'Layer 1 (L1)']",25650847321.97299
dogecoin,doge,Dogecoin,,10,"['Dog-Themed Coins', 'Cryptocurrency', 'Elon Musk-Inspired Coins', 'Proof of Work (PoW)', 'BNB Chain Ecosystem', 'Meme']",23428259196.570793
avalanche-2,avax,Avalanche,,11,"['Proof of Stake (PoS)', 'Smart Contract Platform', 'Layer 1 (L1)', 'Avalanche Ecosystem']",21984816258.999542
shiba-inu,shib,Shiba Inu,ethereum,12,"['Shibarium Ecosystem', 'Dog-Themed Coins', 'BNB Chain Ecosystem', 'Meme', 'Ethereum Ecosystem']",17612397972.76436
polkadot,dot,Polkadot,,13,"['Layer 0 (L0)', 'Proof of Stake (PoS)', 'Smart Contract Platform', 'Polkadot Ecosystem']",14522123917.336426
the-open-network,ton,Toncoin,,14,"['Alleged SEC Securities', 'TON Ecosystem', 'Proof of Stake (PoS)', 'DWF Labs Portfolio', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem']",13578090559.104118
chainlink,link,Chainlink,ethereum,15,"['Business Services', 'Osmosis Ecosystem', 'Infrastructure', 'Smart Contract Platform', 'Oracle', 'Decentralized Finance (DeFi)', 'Cosmos Ecosystem', 'Polkadot Ecosystem', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Solana Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Cardano Ecosystem', 'Harmony Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Edgeware Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem']",11506966264.686129
tron,trx,TRON,,16,"['Alleged SEC Securities', 'FTX Holdings', 'DWF Labs Portfolio', 'Tron Ecosystem', 'Smart Contract Platform', 'Layer 1 (L1)']",11103120113.574745
wrapped-bitcoin,wbtc,Wrapped Bitcoin,ethereum,18,"['FTX Holdings', 'Kava Ecosystem', 'Tokenized BTC', 'Wrapped-Tokens', 'Gnosis Chain Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Metis Ecosystem', 'Velas Ecosystem', 'Moonbeam Ecosystem', 'Cronos Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'ZkSync Ecosystem']",10747288746.491282
matic-network,matic,Polygon,ethereum,17,"['Binance Launchpad', 'Alleged SEC Securities', 'FTX Holdings', 'Proof of Stake (PoS)', 'Rollup', 'Coinbase Ventures Portfolio', 'Smart Contract Platform', 'BNB Chain Ecosystem', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Polygon Ecosystem', 'Moonbeam Ecosystem', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Zero Knowledge (ZK)']",10607889930.673714
uniswap,uni,Uniswap,ethereum,19,"['Defi Pulse Index (DPI)', 'Decentralized Exchange (DEX)', 'Paradigm Portfolio', 'Coinbase Ventures Portfolio', 'Governance', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Yield Farming', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem']",9824692319.485306
bitcoin-cash,bch,Bitcoin Cash,,20,"['Bitcoin Fork', 'Smart Contract Platform', 'Proof of Work (PoW)', 'Layer 1 (L1)']",8209230709.86897
near,near,NEAR Protocol,,21,"['Alleged SEC Securities', 'FTX Holdings', 'Data Availability', 'AI-Themed Coins', 'Proof of Stake (PoS)', 'Multicoin Capital Portfolio', 'Coinbase Ventures Portfolio', 'Smart Contract Platform', 'Near Protocol Ecosystem', 'Layer 1 (L1)', 'Zero Knowledge (ZK)']",7779684627.580874
litecoin,ltc,Litecoin,,22,"['Cryptocurrency', 'Proof of Work (PoW)']",6682011461.285324
aptos,apt,Aptos,aptos,23,"['FTX Holdings', 'Proof of Stake (PoS)', 'Multicoin Capital Portfolio', 'Coinbase Ventures Portfolio', 'Smart Contract Platform', 'Aptos Ecosystem']",5941467037.234206
internet-computer,icp,Internet Computer,internet-computer,24,"['Alleged SEC Securities', 'Multicoin Capital Portfolio', 'Smart Contract Platform', 'Storage', 'Governance', 'NFT', 'Internet Computer Ecosystem']",5913083738.524797
leo-token,leo,LEO Token,ethereum,25,"['Exchange-based Tokens', 'Centralized Exchange (CEX)', 'Ethereum Ecosystem']",5612494275.067713
filecoin,fil,Filecoin,,26,"['DePIN', 'Alleged SEC Securities', 'Infrastructure', 'Storage', 'Layer 1 (L1)']",5084148480.08079
cosmos,atom,Cosmos Hub,,27,"['Alleged SEC Securities', 'Kava Ecosystem', 'Osmosis Ecosystem', 'Cryptocurrency', 'Proof of Stake (PoS)', 'Paradigm Portfolio', 'Cosmos Ecosystem', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Canto Ecosystem']",4931476971.579359
ethereum-classic,etc,Ethereum Classic,,28,"['Smart Contract Platform', 'Proof of Work (PoW)']",4863591526.467568
dai,dai,Dai,ethereum,29,"['Kava Ecosystem', 'Base Ecosystem', 'Stablecoins', 'USD Stablecoin', 'Decentralized Finance (DeFi)', 'Cosmos Ecosystem', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Near Protocol Ecosystem', 'Fantom Ecosystem', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Metis Ecosystem', 'Velas Ecosystem', 'Arbitrum Nova Ecosystem', 'Moonbeam Ecosystem', 'Cronos Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'ZkSync Ecosystem']",4648316841.807731
immutable-x,imx,Immutable,ethereum,31,"['Immutable Ecosystem', 'Gaming Blockchains', 'Rollup', 'Coinbase Ventures Portfolio', 'Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Play To Earn', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Zero Knowledge (ZK)']",4264122144.5995307
render-token,rndr,Render,ethereum,30,"['DePIN', 'Multicoin Capital Portfolio', 'Artificial Intelligence (AI)', 'Metaverse', 'NFT', 'Solana Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",4226878587.4078918
hedera-hashgraph,hbar,Hedera,,32,"['Hedera Ecosystem', 'Protocol', 'Smart Contract Platform', 'Layer 1 (L1)']",4068188289.668871
blockstack,stx,Stacks,,37,"['Infrastructure', 'Smart Contract Platform']",4038379879.320016
bittensor,tao,Bittensor,,34,['Artificial Intelligence (AI)'],3980324705.6410155
okb,okb,OKB,ethereum,35,"['X1 Ecosystem', 'Exchange-based Tokens', 'Centralized Exchange (CEX)', 'Ethereum Ecosystem']",3977416973.250441
injective-protocol,inj,Injective,ethereum,33,"['Binance Launchpad', 'Proof of Stake (PoS)', 'Smart Contract Platform', 'Cosmos Ecosystem', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",3927622471.9340205
stellar,xlm,Stellar,,36,"['Cryptocurrency', 'Stellar Ecosystem', 'Smart Contract Platform']",3925269517.830826
the-graph,grt,The Graph,ethereum,39,"['Business Services', 'AI-Themed Coins', 'Proof of Stake (PoS)', 'Multicoin Capital Portfolio', 'Infrastructure', 'Coinbase Ventures Portfolio', 'Analytics', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Gnosis Chain Ecosystem', 'Solana Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']",3876971023.9514027
optimism,op,Optimism,optimistic-ethereum,40,"['Paradigm Portfolio', 'Optimism Ecosystem', 'Layer 2 (L2)']",3838328821.829256
crypto-com-chain,cro,Cronos,,38,"['Exchange-based Tokens', 'Centralized Exchange (CEX)', 'Cosmos Ecosystem', 'Layer 1 (L1)', 'Cronos Ecosystem', 'Ethereum Ecosystem']",3795416641.789741
pepe,pepe,Pepe,ethereum,41,"['BNB Chain Ecosystem', 'Meme', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']",3765984757.531853
vechain,vet,VeChain,vechain,42,"['Internet of Things (IOT)', 'Business Platform', 'Smart Contract Platform']",3245900981.6845083
kaspa,kas,Kaspa,,43,"['Proof of Work (PoW)', 'Layer 1 (L1)']",3222302022.592349
theta-token,theta,Theta Network,,44,"['DePIN', 'Theta Ecosystem', 'Entertainment', 'Smart Contract Platform', 'SocialFi', 'NFT']",3100118887.046088
first-digital-usd,fdusd,First Digital USD,ethereum,45,"['Stablecoins', 'BNB Chain Ecosystem', 'Ethereum Ecosystem']",3014277332.3872914
mantle,mnt,Mantle,ethereum,48,"['Mantle Ecosystem', 'DWF Labs Portfolio', 'Ethereum Ecosystem', 'Layer 2 (L2)']",2868767693.3454247
dogwifcoin,wif,dogwifhat,solana,56,"['Dog-Themed Coins', 'Solana Meme Coins', 'Solana Ecosystem', 'Meme']",2822383719.7584944
fetch-ai,fet,Fetch.ai,ethereum,50,"['Binance Launchpad', 'Cryptocurrency', 'DWF Labs Portfolio', 'Artificial Intelligence (AI)', 'AI Agents', 'NFT', 'Cosmos Ecosystem', 'BNB Chain Ecosystem', 'Ethereum Ecosystem']",2804266725.0292416
thorchain,rune,THORChain,thorchain,47,"['Bridge Governance Tokens', 'Proof of Stake (PoS)', 'Multicoin Capital Portfolio', 'Decentralized Exchange (DEX)', 'Infrastructure', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Cosmos Ecosystem', 'BNB Chain Ecosystem']",2804221401.918474
sei-network,sei,Sei,,46,"['Multicoin Capital Portfolio', 'Parallelized EVM', 'Sei Ecosystem', 'Coinbase Ventures Portfolio', 'Cosmos Ecosystem']",2789670915.768557
arbitrum,arb,Arbitrum,arbitrum-one,49,"['eGirl Capital Portfolio', 'Rollup', 'Arbitrum Ecosystem', 'Arbitrum Nova Ecosystem', 'Ethereum Ecosystem', 'Layer 2 (L2)']",2740240016.1920924
lido-dao,ldo,Lido DAO,ethereum,55,"['Multicoin Capital Portfolio', 'eGirl Capital Portfolio', 'Defi Pulse Index (DPI)', 'Infrastructure', 'Paradigm Portfolio', 'Coinbase Ventures Portfolio', 'Decentralized Finance (DeFi)', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Liquid Staking Governance Tokens', 'Ethereum Ecosystem', 'Optimism Ecosystem']",2631587642.240174
celestia,tia,Celestia,,52,"['Data Availability', 'Proof of Stake (PoS)', 'eGirl Capital Portfolio', 'Modular Blockchain', 'Coinbase Ventures Portfolio', 'Cosmos Ecosystem']",2617604707.612166
floki,floki,FLOKI,ethereum,60,"['Dog-Themed Coins', 'DWF Labs Portfolio', 'Gaming (GameFi)', 'Metaverse', 'NFT', 'BNB Chain Ecosystem', 'Meme', 'Ethereum Ecosystem']",2599416053.911208
maker,mkr,Maker,ethereum,51,"['Defi Pulse Index (DPI)', 'Paradigm Portfolio', 'Governance', 'Decentralized Finance (DeFi)', 'Lending/Borrowing', 'Near Protocol Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']",2595303280.7320633
monero,xmr,Monero,,54,"['Privacy Coins', 'Proof of Work (PoW)']",2583268532.8895264
algorand,algo,Algorand,,58,"['Alleged SEC Securities', 'Cryptocurrency', 'Proof of Stake (PoS)', 'Multicoin Capital Portfolio', 'DWF Labs Portfolio', 'Smart Contract Platform', 'Layer 1 (L1)', 'Algorand Ecosystem']",2407919834.775471
fantom,ftm,Fantom,,53,"['Infrastructure', 'Smart Contract Platform', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Layer 1 (L1)', 'Moonriver Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem']",2403634625.09847
